,MAC,timestamp,rssi,label,gateway
0,AC233F8C7BCC,2022-01-07T15:07:59.706Z,-46.0,sala,AC233FC0C810
1,AC233FE05DF6,2022-01-07T15:08:00.360Z,-29.0,sala,AC233FC0C810
2,AC233F8C7BCC,2022-01-07T15:08:02.430Z,-39.0,sala,AC233FC0C810
3,AC233FE05DF6,2022-01-07T15:08:02.180Z,-30.0,sala,AC233FC0C810
4,AC233F8C7BCC,2022-01-07T15:08:04.243Z,-39.0,sala,AC233FC0C810
5,AC233FE05DF6,2022-01-07T15:08:04.008Z,-30.0,sala,AC233FC0C810
6,AC233F8C7BCC,2022-01-07T15:08:06.056Z,-45.0,sala,AC233FC0C810
7,AC233FE05DF6,2022-01-07T15:08:05.826Z,-28.0,sala,AC233FC0C810
8,AC233F8C7BCC,2022-01-07T15:08:06.965Z,-45.0,sala,AC233FC0C810
9,AC233FE05DF6,2022-01-07T15:08:07.648Z,-28.0,sala,AC233FC0C810
10,AC233F8C7BCC,2022-01-07T15:08:08.784Z,-43.0,sala,AC233FC0C810
11,AC233FE05DF6,2022-01-07T15:08:10.380Z,-28.0,sala,AC233FC0C810
12,AC233F8C7BCC,2022-01-07T15:08:12.412Z,-47.0,sala,AC233FC0C810
13,AC233FE05DF6,2022-01-07T15:08:11.296Z,-29.0,sala,AC233FC0C810
14,AC233F8C7BCC,2022-01-07T15:08:14.227Z,-47.0,sala,AC233FC0C810
15,AC233FE05DF6,2022-01-07T15:08:14.022Z,-29.0,sala,AC233FC0C810
16,AC233F8C7BCC,2022-01-07T15:08:16.041Z,-39.0,sala,AC233FC0C810
17,AC233FE05DF6,2022-01-07T15:08:15.846Z,-30.0,sala,AC233FC0C810
18,AC233F8C7BCC,2022-01-07T15:08:17.849Z,-39.0,sala,AC233FC0C810
19,AC233FE05DF6,2022-01-07T15:08:17.670Z,-30.0,sala,AC233FC0C810
20,AC233F8C7BCC,2022-01-07T15:08:19.659Z,-39.0,sala,AC233FC0C810
21,AC233FE05DF6,2022-01-07T15:08:20.403Z,-31.0,sala,AC233FC0C810
22,AC233F8C7BCC,2022-01-07T15:08:22.388Z,-42.0,sala,AC233FC0C810
23,AC233FE05DF6,2022-01-07T15:08:22.234Z,-28.0,sala,AC233FC0C810
24,AC233F8C7BCC,2022-01-07T15:08:24.200Z,-43.0,sala,AC233FC0C810
25,AC233FE05DF6,2022-01-07T15:08:24.046Z,-28.0,sala,AC233FC0C810
26,AC233F8C7BCC,2022-01-07T15:08:26.013Z,-47.0,sala,AC233FC0C810
27,AC233FE05DF6,2022-01-07T15:08:25.865Z,-29.0,sala,AC233FC0C810
28,AC233F8C7BCC,2022-01-07T15:08:27.830Z,-47.0,sala,AC233FC0C810
29,AC233FE05DF6,2022-01-07T15:08:26.775Z,-29.0,sala,AC233FC0C810
30,AC233F8C7BCC,2022-01-07T15:08:30.550Z,-40.0,sala,AC233FC0C810
31,AC233FE05DF6,2022-01-07T15:08:30.427Z,-29.0,sala,AC233FC0C810
32,AC233F8C7BCC,2022-01-07T15:08:32.365Z,-39.0,sala,AC233FC0C810
33,AC233FE05DF6,2022-01-07T15:08:32.243Z,-30.0,sala,AC233FC0C810
34,AC233F8C7BCC,2022-01-07T15:08:34.170Z,-40.0,sala,AC233FC0C810
35,AC233FE05DF6,2022-01-07T15:08:34.068Z,-30.0,sala,AC233FC0C810
36,AC233F8C7BCC,2022-01-07T15:08:36.000Z,-43.0,sala,AC233FC0C810
37,AC233FE05DF6,2022-01-07T15:08:35.892Z,-28.0,sala,AC233FC0C810
38,AC233F8C7BCC,2022-01-07T15:11:20.149Z,-39.0,sala,AC233FC0C810
39,AC233FE05DF6,2022-01-07T15:11:19.859Z,-31.0,sala,AC233FC0C810
40,AC233F8C7BCC,2022-01-07T15:11:21.966Z,-42.0,sala,AC233FC0C810
41,AC233FE05DF6,2022-01-07T15:11:21.675Z,-28.0,sala,AC233FC0C810
42,AC233F8C7BCC,2022-01-07T15:11:23.785Z,-41.0,sala,AC233FC0C810
43,AC233FE05DF6,2022-01-07T15:11:23.502Z,-28.0,sala,AC233FC0C810
44,AC233F8C7BCC,2022-01-07T15:11:26.502Z,-52.0,sala,AC233FC0C810
45,AC233FE05DF6,2022-01-07T15:11:26.241Z,-29.0,sala,AC233FC0C810
46,AC233F8C7BCC,2022-01-07T15:11:28.313Z,-51.0,sala,AC233FC0C810
47,AC233FE05DF6,2022-01-07T15:11:28.058Z,-30.0,sala,AC233FC0C810
48,AC233F8C7BCC,2022-01-07T15:11:29.227Z,-49.0,sala,AC233FC0C810
49,AC233FE05DF6,2022-01-07T15:11:29.882Z,-30.0,sala,AC233FC0C810
50,AC233F8C7BCC,2022-01-07T15:11:31.036Z,-35.0,sala,AC233FC0C810
51,AC233FE05DF6,2022-01-07T15:11:31.708Z,-30.0,sala,AC233FC0C810
52,AC233F8C7BCC,2022-01-07T15:11:32.858Z,-40.0,sala,AC233FC0C810
53,AC233FE05DF6,2022-01-07T15:11:33.520Z,-30.0,sala,AC233FC0C810
54,AC233F8C7BCC,2022-01-07T15:11:36.479Z,-43.0,sala,AC233FC0C810
55,AC233FE05DF6,2022-01-07T15:11:36.256Z,-28.0,sala,AC233FC0C810
56,AC233F8C7BCC,2022-01-07T15:11:38.294Z,-44.0,sala,AC233FC0C810
57,AC233FE05DF6,2022-01-07T15:11:37.168Z,-28.0,sala,AC233FC0C810
58,AC233F8C7BCC,2022-01-07T15:11:40.110Z,-43.0,sala,AC233FC0C810
59,AC233FE05DF6,2022-01-07T15:11:39.899Z,-28.0,sala,AC233FC0C810
60,AC233F8C7BCC,2022-01-07T15:11:41.018Z,-48.0,sala,AC233FC0C810
61,AC233FE05DF6,2022-01-07T15:11:41.722Z,-30.0,sala,AC233FC0C810
62,AC233F8C7BCC,2022-01-07T15:11:42.829Z,-48.0,sala,AC233FC0C810
63,AC233FE05DF6,2022-01-07T15:11:43.541Z,-29.0,sala,AC233FC0C810
64,AC233F8C7BCC,2022-01-07T15:11:46.456Z,-35.0,sala,AC233FC0C810
65,AC233FE05DF6,2022-01-07T15:11:45.366Z,-30.0,sala,AC233FC0C810
66,AC233F8C7BCC,2022-01-07T15:11:48.266Z,-39.0,sala,AC233FC0C810
67,AC233FE05DF6,2022-01-07T15:11:47.184Z,-31.0,sala,AC233FC0C810
68,AC233F8C7BCC,2022-01-07T15:11:50.080Z,-39.0,sala,AC233FC0C810
69,AC233FE05DF6,2022-01-07T15:11:49.919Z,-31.0,sala,AC233FC0C810
70,AC233F8C7BCC,2022-01-07T15:11:51.906Z,-43.0,sala,AC233FC0C810
71,AC233F8C7BCC,2022-01-07T15:11:53.710Z,-43.0,sala,AC233FC0C810
72,AC233FE05DF6,2022-01-07T15:11:54.468Z,-28.0,sala,AC233FC0C810
73,AC233F8C7BCC,2022-01-07T15:11:56.432Z,-48.0,sala,AC233FC0C810
74,AC233FE05DF6,2022-01-07T15:11:56.294Z,-30.0,sala,AC233FC0C810
75,AC233F8C7BCC,2022-01-07T15:12:17.292Z,-40.0,sala,AC233FC0C810
76,AC233FE05DF6,2022-01-07T15:12:18.154Z,-31.0,sala,AC233FC0C810
77,AC233F8C7BCC,2022-01-07T15:12:19.107Z,-40.0,sala,AC233FC0C810
78,AC233FE05DF6,2022-01-07T15:12:19.978Z,-31.0,sala,AC233FC0C810
79,AC233F8C7BCC,2022-01-07T15:12:20.917Z,-43.0,sala,AC233FC0C810
80,AC233FE05DF6,2022-01-07T15:12:21.797Z,-28.0,sala,AC233FC0C810
81,AC233F8C7BCC,2022-01-07T15:12:24.546Z,-43.0,sala,AC233FC0C810
82,AC233FE05DF6,2022-01-07T15:12:24.539Z,-28.0,sala,AC233FC0C810
83,AC233F8C7BCC,2022-01-07T15:12:26.367Z,-48.0,sala,AC233FC0C810
84,AC233FE05DF6,2022-01-07T15:12:26.355Z,-29.0,sala,AC233FC0C810
85,AC233F8C7BCC,2022-01-07T15:12:28.180Z,-48.0,sala,AC233FC0C810
86,AC233FE05DF6,2022-01-07T15:12:28.193Z,-30.0,sala,AC233FC0C810
87,AC233F8C7BCC,2022-01-07T15:12:29.995Z,-48.0,sala,AC233FC0C810
88,AC233FE05DF6,2022-01-07T15:12:30.007Z,-29.0,sala,AC233FC0C810
89,AC233F8C7BCC,2022-01-07T15:12:30.897Z,-40.0,sala,AC233FC0C810
90,AC233FE05DF6,2022-01-07T15:12:31.818Z,-31.0,sala,AC233FC0C810
91,AC233F8C7BCC,2022-01-07T15:12:34.530Z,-39.0,sala,AC233FC0C810
92,AC233FE05DF6,2022-01-07T15:12:34.558Z,-32.0,sala,AC233FC0C810
93,AC233F8C7BCC,2022-01-07T15:12:36.346Z,-43.0,sala,AC233FC0C810
94,AC233FE05DF6,2022-01-07T15:12:35.461Z,-31.0,sala,AC233FC0C810
95,AC233F8C7BCC,2022-01-07T15:12:38.161Z,-43.0,sala,AC233FC0C810
96,AC233FE05DF6,2022-01-07T15:12:38.201Z,-28.0,sala,AC233FC0C810
97,AC233F8C7BCC,2022-01-07T15:12:39.058Z,-43.0,sala,AC233FC0C810
98,AC233FE05DF6,2022-01-07T15:12:39.112Z,-28.0,sala,AC233FC0C810
99,AC233F8C7BCC,2022-01-07T15:12:41.778Z,-47.0,sala,AC233FC0C810
100,AC233FE05DF6,2022-01-07T15:12:41.850Z,-29.0,sala,AC233FC0C810
101,AC233F8C7BCC,2022-01-07T15:12:44.504Z,-47.0,sala,AC233FC0C810
102,AC233FE05DF6,2022-01-07T15:12:44.582Z,-29.0,sala,AC233FC0C810
103,AC233F8C7BCC,2022-01-07T15:12:46.314Z,-40.0,sala,AC233FC0C810
104,AC233FE05DF6,2022-01-07T15:12:46.399Z,-30.0,sala,AC233FC0C810
105,AC233F8C7BCC,2022-01-07T15:12:48.130Z,-40.0,sala,AC233FC0C810
