,MAC,timestamp,rssi,label,gateway
0,AC233F8C7BCC,2022-01-06T18:31:21.885Z,-45,sala,
1,AC233FE05DF6,2022-01-06T18:31:23.428Z,-44,sala,
2,AC233F8C7BCC,2022-01-06T18:31:24.609Z,-46,sala,
3,AC233FE05DF6,2022-01-06T18:31:25.244Z,-48,sala,
4,AC233F8C7BCC,2022-01-06T18:31:27.328Z,-62,sala,
5,AC233FE05DF6,2022-01-06T18:31:26.161Z,-42,sala,
6,AC233F8C7BCC,2022-01-06T18:34:18.750Z,-68,sala,
7,AC233FE05DF6,2022-01-06T18:34:19.243Z,-42,sala,
8,AC233F8C7BCC,2022-01-06T18:34:21.469Z,-45,sala,
9,AC233FE05DF6,2022-01-06T18:34:21.059Z,-44,sala,
10,AC233F8C7BCC,2022-01-06T18:34:23.288Z,-57,sala,
11,AC233FE05DF6,2022-01-06T18:34:22.885Z,-43,sala,
12,AC233F8C7BCC,2022-01-06T18:34:25.103Z,-49,sala,
13,AC233FE05DF6,2022-01-06T18:34:25.617Z,-39,sala,
14,AC233F8C7BCC,2022-01-06T18:34:26.914Z,-43,sala,
15,AC233FE05DF6,2022-01-06T18:34:27.437Z,-41,sala,
16,AC233F8C7BCC,2022-01-06T18:34:28.726Z,-45,sala,
17,AC233FE05DF6,2022-01-06T18:34:29.259Z,-38,sala,
18,AC233F8C7BCC,2022-01-06T18:34:31.448Z,-49,sala,
19,AC233FE05DF6,2022-01-06T18:34:31.082Z,-43,sala,
20,AC233F8C7BCC,2022-01-06T18:34:33.266Z,-48,sala,
21,AC233FE05DF6,2022-01-06T18:34:32.911Z,-48,sala,
22,AC233F8C7BCC,2022-01-06T18:34:35.074Z,-47,sala,
23,AC233FE05DF6,2022-01-06T18:34:35.634Z,-41,sala,
24,AC233F8C7BCC,2022-01-06T18:34:36.889Z,-52,sala,
25,AC233FE05DF6,2022-01-06T18:34:36.546Z,-38,sala,
26,AC233F8C7BCC,2022-01-06T18:35:19.517Z,-68,sala,
27,AC233FE05DF6,2022-01-06T18:35:19.362Z,-51,sala,
28,AC233F8C7BCC,2022-01-06T18:35:20.425Z,-54,sala,
29,AC233FE05DF6,2022-01-06T18:35:21.186Z,-54,sala,
30,AC233F8C7BCC,2022-01-06T18:35:23.142Z,-48,sala,
31,AC233FE05DF6,2022-01-06T18:35:23.010Z,-39,sala,
32,AC233F8C7BCC,2022-01-06T18:35:24.964Z,-48,sala,
33,AC233FE05DF6,2022-01-06T18:35:24.834Z,-35,sala,
34,AC233F8C7BCC,2022-01-06T18:35:26.772Z,-46,sala,
35,AC233FE05DF6,2022-01-06T18:35:27.561Z,-35,sala,
36,AC233F8C7BCC,2022-01-06T18:35:28.592Z,-42,sala,
37,AC233FE05DF6,2022-01-06T18:35:28.470Z,-43,sala,
38,AC233F8C7BCC,2022-01-06T18:35:30.408Z,-43,sala,
39,AC233FE05DF6,2022-01-06T18:35:31.204Z,-36,sala,
40,AC233F8C7BCC,2022-01-06T18:35:32.220Z,-51,sala,
41,AC233FE05DF6,2022-01-06T18:35:33.032Z,-42,sala,
42,AC233F8C7BCC,2022-01-06T18:35:34.034Z,-53,sala,
43,AC233FE05DF6,2022-01-06T18:35:34.851Z,-49,sala,
44,AC233F8C7BCC,2022-01-06T18:35:37.654Z,-56,sala,
45,AC233FE05DF6,2022-01-06T18:35:37.583Z,-71,sala,
46,AC233F8C7BCC,2022-01-06T18:35:39.469Z,-57,sala,
47,AC233FE05DF6,2022-01-06T18:35:38.489Z,-59,sala,
48,AC233F8C7BCC,2022-01-06T18:35:41.285Z,-59,sala,
49,AC233FE05DF6,2022-01-06T18:35:41.226Z,-58,sala,
50,AC233F8C7BCC,2022-01-06T18:35:43.103Z,-53,sala,
51,AC233FE05DF6,2022-01-06T18:35:43.051Z,-51,sala,
52,AC233F8C7BCC,2022-01-06T18:35:44.915Z,-57,sala,
53,AC233FE05DF6,2022-01-06T18:35:44.871Z,-47,sala,
54,AC233F8C7BCC,2022-01-06T18:35:47.634Z,-62,sala,
55,AC233FE05DF6,2022-01-06T18:35:47.606Z,-61,sala,
56,AC233F8C7BCC,2022-01-06T18:35:49.449Z,-56,sala,
57,AC233FE05DF6,2022-01-06T18:35:49.430Z,-46,sala,
58,AC233F8C7BCC,2022-01-06T18:35:51.264Z,-54,sala,
59,AC233FE05DF6,2022-01-06T18:35:50.339Z,-42,sala,
60,AC233F8C7BCC,2022-01-06T18:35:53.081Z,-57,sala,
61,AC233F8C7BCC,2022-01-06T18:35:54.896Z,-58,sala,
62,AC233FE05DF6,2022-01-06T18:35:53.983Z,-48,sala,
63,AC233F8C7BCC,2022-01-06T18:35:57.615Z,-54,sala,
64,AC233FE05DF6,2022-01-06T18:35:57.626Z,-63,sala,
65,AC233F8C7BCC,2022-01-06T18:35:59.428Z,-60,sala,
66,AC233FE05DF6,2022-01-06T18:35:59.450Z,-51,sala,
67,AC233F8C7BCC,2022-01-06T18:36:01.239Z,-72,sala,
68,AC233FE05DF6,2022-01-06T18:36:01.278Z,-64,sala,
69,AC233F8C7BCC,2022-01-06T18:36:03.059Z,-69,cocina,
70,AC233FE05DF6,2022-01-06T18:36:03.093Z,-71,cocina,
71,AC233FE05DF6,2022-01-06T18:36:04.919Z,-78,cocina,
72,AC233F8C7BCC,2022-01-06T18:36:06.685Z,-68,cocina,
73,AC233FE05DF6,2022-01-06T18:36:07.641Z,-61,cocina,
74,AC233F8C7BCC,2022-01-06T18:36:08.497Z,-60,cocina,
