,MAC,timestamp,rssi,label,gateway
0,AC233F8C7BCC,2022-01-10T14:44:27.294Z,-71.0,pc,AC233FC0C810
1,AC233FE05DF6,2022-01-10T14:44:27.591Z,-77.0,pc,AC233FC0C810
2,AC233FE05DF6,2022-01-10T14:44:27.589Z,-74.0,pc,AC233FC0C80F
3,AC233FAA9BB3,2022-01-10T14:44:27.750Z,-44.0,pc,AC233FC0C80F
4,AC233FE05DFB,2022-01-10T14:44:27.839Z,-48.0,pc,AC233FC0C80F
5,AC233F8C7BCF,2022-01-10T14:44:27.869Z,-57.0,pc,AC233FC0C80F
6,AC233F8C7BCC,2022-01-10T14:44:27.895Z,-75.0,pc,AC233FC0C80F
7,AC233F8C7BCC,2022-01-10T14:44:27.894Z,-72.0,pc,AC233FC0C817
8,AC233F8C7BCF,2022-01-10T14:44:27.869Z,-42.0,pc,AC233FC0C817
9,AC233FAA9BB3,2022-01-10T14:44:27.751Z,-41.0,pc,AC233FC0C817
10,AC233FE05DF6,2022-01-10T14:44:27.590Z,-68.0,pc,AC233FC0C817
11,AC233FE05DFB,2022-01-10T14:44:27.840Z,-43.0,pc,AC233FC0C817
12,AC233F8C7BCC,2022-01-10T14:44:27.895Z,-70.0,pc,AC233FC0C810
13,AC233F8C7BCF,2022-01-10T14:44:27.869Z,-57.0,pc,AC233FC0C810
14,AC233FAA9BB3,2022-01-10T14:44:27.752Z,-49.0,pc,AC233FC0C810
15,AC233FE05DF6,2022-01-10T14:44:27.905Z,-61.0,pc,AC233FC0C810
16,AC233FE05DFB,2022-01-10T14:44:27.836Z,-48.0,pc,AC233FC0C810
17,AC233F8C7BCC,2022-01-10T14:44:28.195Z,-70.0,pc,AC233FC0C80F
18,AC233FE05DF6,2022-01-10T14:44:28.213Z,-79.0,pc,AC233FC0C80F
19,AC233F8C7BCC,2022-01-10T14:44:28.195Z,-63.0,pc,AC233FC0C817
20,AC233F8C7BCC,2022-01-10T14:44:28.517Z,-77.0,pc,AC233FC0C810
21,AC233FAA9BB3,2022-01-10T14:44:28.655Z,-42.0,pc,AC233FC0C810
22,AC233FE05DF6,2022-01-10T14:44:28.522Z,-77.0,pc,AC233FC0C810
23,AC233F8C7BCC,2022-01-10T14:44:28.505Z,-74.0,pc,AC233FC0C80F
24,AC233FE05DF6,2022-01-10T14:44:28.521Z,-70.0,pc,AC233FC0C80F
25,AC233FAA9BB3,2022-01-10T14:44:28.657Z,-49.0,pc,AC233FC0C80F
26,AC233FE05DFB,2022-01-10T14:44:28.740Z,-49.0,pc,AC233FC0C80F
27,AC233FE05E05,2022-01-10T14:44:28.778Z,-51.0,pc,AC233FC0C80F
28,AC233F8C7BCC,2022-01-10T14:44:28.803Z,-72.0,pc,AC233FC0C80F
29,AC233FE05DF6,2022-01-10T14:44:28.831Z,-63.0,pc,AC233FC0C80F
30,AC233F8C7BCC,2022-01-10T14:44:28.802Z,-69.0,pc,AC233FC0C817
31,AC233FAA9BB3,2022-01-10T14:44:28.655Z,-41.0,pc,AC233FC0C817
32,AC233FE05DF6,2022-01-10T14:44:28.828Z,-50.0,pc,AC233FC0C817
33,AC233FE05DFB,2022-01-10T14:44:28.740Z,-38.0,pc,AC233FC0C817
34,AC233FE05E05,2022-01-10T14:44:28.776Z,-34.0,pc,AC233FC0C817
35,AC233FE05DF6,2022-01-10T14:44:29.130Z,-68.0,pc,AC233FC0C810
36,AC233FE05DFB,2022-01-10T14:44:28.740Z,-51.0,pc,AC233FC0C810
37,AC233FE05E05,2022-01-10T14:44:28.776Z,-46.0,pc,AC233FC0C810
