,MAC,timestamp,rssi,label,gateway
0,AC233F8C7BCC,2022-01-11T14:56:24.986Z,-62.0,pcs,AC233FC0C810
1,AC233F8C7BCF,2022-01-11T14:56:24.920Z,-44.0,pcs,AC233FC0C810
2,AC233FAA9BB3,2022-01-11T14:56:24.905Z,-36.0,pcs,AC233FC0C810
3,AC233FE05DF6,2022-01-11T14:56:25.140Z,-43.0,pcs,AC233FC0C810
4,AC233FE05DF6,2022-01-11T14:56:24.840Z,-55.0,pcs,AC233FC0C80F
5,AC233FAA9BB3,2022-01-11T14:56:24.909Z,-56.0,pcs,AC233FC0C80F
6,AC233F8C7BCF,2022-01-11T14:56:24.920Z,-54.0,pcs,AC233FC0C80F
7,AC233F8C7BCC,2022-01-11T14:56:24.988Z,-64.0,pcs,AC233FC0C80F
8,AC233FE05DF6,2022-01-11T14:56:25.144Z,-54.0,pcs,AC233FC0C80F
9,4E7ED43BA008,2022-01-11T14:56:25.216Z,-68.0,pcs,AC233FC0C817
10,AC233F8C7BCC,2022-01-11T14:56:25.289Z,-64.0,pcs,AC233FC0C817
11,AC233F8C7BCF,2022-01-11T14:56:24.919Z,-50.0,pcs,AC233FC0C817
12,AC233FE05DF6,2022-01-11T14:56:25.141Z,-54.0,pcs,AC233FC0C817
13,AC233F8C7BCC,2022-01-11T14:56:25.586Z,-56.0,pcs,AC233FC0C810
14,AC233FE05DF6,2022-01-11T14:56:25.451Z,-43.0,pcs,AC233FC0C810
15,AC233FE05DFB,2022-01-11T14:56:25.445Z,-41.0,pcs,AC233FC0C810
16,AC233FE05DFB,2022-01-11T14:56:25.450Z,-58.0,pcs,AC233FC0C80F
17,AC233FE05DF6,2022-01-11T14:56:25.456Z,-68.0,pcs,AC233FC0C80F
18,AC233F8C7BCC,2022-01-11T14:56:25.589Z,-58.0,pcs,AC233FC0C80F
19,AC233F8C7BCC,2022-01-11T14:56:25.887Z,-60.0,pcs,AC233FC0C817
20,AC233FAA9BB3,2022-01-11T14:56:25.806Z,-78.0,pcs,AC233FC0C817
21,AC233FE05DF6,2022-01-11T14:56:25.452Z,-56.0,pcs,AC233FC0C817
22,AC233FE05DFB,2022-01-11T14:56:25.446Z,-76.0,pcs,AC233FC0C817
23,AC233F8C7BCC,2022-01-11T14:56:26.184Z,-57.0,pcs,AC233FC0C810
24,AC233FAA9BB3,2022-01-11T14:56:25.807Z,-36.0,pcs,AC233FC0C810
25,AC233FE05DF6,2022-01-11T14:56:26.066Z,-48.0,pcs,AC233FC0C810
26,AC233FE05E05,2022-01-11T14:56:26.154Z,-35.0,pcs,AC233FC0C810
27,AC233F8C7BCC,2022-01-11T14:56:25.888Z,-60.0,pcs,AC233FC0C80F
28,AC233FE05DF6,2022-01-11T14:56:26.066Z,-51.0,pcs,AC233FC0C80F
29,AC233FE05E05,2022-01-11T14:56:26.154Z,-46.0,pcs,AC233FC0C80F
30,4E7ED43BA008,2022-01-11T14:56:26.404Z,-68.0,pcs,AC233FC0C817
31,AC233FE05DF6,2022-01-11T14:56:26.380Z,-55.0,pcs,AC233FC0C817
32,AC233FE05DFB,2022-01-11T14:56:26.356Z,-56.0,pcs,AC233FC0C817
33,AC233FE05E05,2022-01-11T14:56:26.151Z,-42.0,pcs,AC233FC0C817
34,AC233F8C7BCC,2022-01-11T14:56:26.493Z,-47.0,pcs,AC233FC0C810
35,AC233FAA9BB3,2022-01-11T14:56:26.713Z,-44.0,pcs,AC233FC0C810
36,AC233FE05DF6,2022-01-11T14:56:26.681Z,-51.0,pcs,AC233FC0C810
37,AC233FE05DFB,2022-01-11T14:56:26.358Z,-45.0,pcs,AC233FC0C810
38,AC233FE05DFB,2022-01-11T14:56:26.358Z,-51.0,pcs,AC233FC0C80F
39,AC233FE05DF6,2022-01-11T14:56:26.380Z,-64.0,pcs,AC233FC0C80F
40,AC233F8C7BCC,2022-01-11T14:56:26.494Z,-56.0,pcs,AC233FC0C80F
41,AC233FE05DF6,2022-01-11T14:56:26.685Z,-56.0,pcs,AC233FC0C80F
42,AC233FAA9BB3,2022-01-11T14:56:26.716Z,-52.0,pcs,AC233FC0C80F
43,AC233F8C7BCF,2022-01-11T14:56:26.758Z,-54.0,pcs,AC233FC0C80F
44,4E7ED43BA008,2022-01-11T14:56:26.868Z,-69.0,pcs,AC233FC0C817
45,AC233FE05DF6,2022-01-11T14:56:26.682Z,-63.0,pcs,AC233FC0C817
46,AC233F8C7BCC,2022-01-11T14:56:26.785Z,-54.0,pcs,AC233FC0C810
47,AC233F8C7BCF,2022-01-11T14:56:26.759Z,-54.0,pcs,AC233FC0C810
48,AC233FE05DF6,2022-01-11T14:56:26.997Z,-51.0,pcs,AC233FC0C810
49,AC233FE05E05,2022-01-11T14:56:27.067Z,-52.0,pcs,AC233FC0C810
50,AC233FE05DF6,2022-01-11T14:56:27.001Z,-58.0,pcs,AC233FC0C80F
51,AC233FE05E05,2022-01-11T14:56:27.071Z,-53.0,pcs,AC233FC0C80F
52,AC233F8C7BCC,2022-01-11T14:56:27.103Z,-61.0,pcs,AC233FC0C80F
53,4E7ED43BA008,2022-01-11T14:56:27.346Z,-69.0,pcs,AC233FC0C817
54,AC233FE05DFB,2022-01-11T14:56:27.259Z,-42.0,pcs,AC233FC0C817
55,AC233FE05E05,2022-01-11T14:56:27.067Z,-73.0,pcs,AC233FC0C817
56,AC233F8C7BCF,2022-01-11T14:56:27.660Z,-41.0,pcs,AC233FC0C810
57,AC233FAA9BB3,2022-01-11T14:56:27.617Z,-36.0,pcs,AC233FC0C810
58,AC233FE05DF6,2022-01-11T14:56:27.609Z,-48.0,pcs,AC233FC0C810
59,AC233FE05DFB,2022-01-11T14:56:27.259Z,-40.0,pcs,AC233FC0C810
60,AC233FE05DF6,2022-01-11T14:56:27.606Z,-45.0,pcs,AC233FC0C80F
61,AC233F8C7BCF,2022-01-11T14:56:27.661Z,-59.0,pcs,AC233FC0C80F
62,4E7ED43BA008,2022-01-11T14:56:27.703Z,-70.0,pcs,AC233FC0C817
63,AC233F8C7BCF,2022-01-11T14:56:27.658Z,-48.0,pcs,AC233FC0C817
64,AC233FAA9BB3,2022-01-11T14:56:27.613Z,-66.0,pcs,AC233FC0C817
65,AC233FE05DF6,2022-01-11T14:56:27.607Z,-80.0,pcs,AC233FC0C817
66,AC233F8C7BCC,2022-01-11T14:56:27.993Z,-76.0,pcs,AC233FC0C810
67,AC233FE05DF6,2022-01-11T14:56:28.219Z,-45.0,pcs,AC233FC0C810
68,AC233FE05DFB,2022-01-11T14:56:28.166Z,-40.0,pcs,AC233FC0C810
69,AC233FE05E05,2022-01-11T14:56:27.976Z,-35.0,pcs,AC233FC0C810
70,AC233FE05E05,2022-01-11T14:56:27.979Z,-49.0,pcs,AC233FC0C80F
71,AC233F8C7BCC,2022-01-11T14:56:27.998Z,-55.0,pcs,AC233FC0C80F
72,4E7ED43BA008,2022-01-11T14:56:28.071Z,-68.0,pcs,AC233FC0C817
73,AC233FE05DF6,2022-01-11T14:56:28.220Z,-53.0,pcs,AC233FC0C817
74,AC233FE05DFB,2022-01-11T14:56:28.167Z,-43.0,pcs,AC233FC0C817
75,AC233FE05E05,2022-01-11T14:56:27.975Z,-51.0,pcs,AC233FC0C817
76,AC233F8C7BCF,2022-01-11T14:56:28.573Z,-41.0,pcs,AC233FC0C810
77,AC233FAA9BB3,2022-01-11T14:56:28.516Z,-36.0,pcs,AC233FC0C810
78,AC233FE05DF6,2022-01-11T14:56:28.533Z,-43.0,pcs,AC233FC0C810
79,AC233FAA9BB3,2022-01-11T14:56:28.519Z,-47.0,pcs,AC233FC0C80F
80,AC233FE05DF6,2022-01-11T14:56:28.535Z,-51.0,pcs,AC233FC0C80F
81,AC233F8C7BCF,2022-01-11T14:56:28.575Z,-64.0,pcs,AC233FC0C80F
82,AC233F8C7BCC,2022-01-11T14:56:28.594Z,-69.0,pcs,AC233FC0C80F
83,4E7ED43BA008,2022-01-11T14:56:28.546Z,-70.0,pcs,AC233FC0C817
84,AC233F8C7BCC,2022-01-11T14:56:28.894Z,-74.0,pcs,AC233FC0C817
85,AC233F8C7BCF,2022-01-11T14:56:28.572Z,-50.0,pcs,AC233FC0C817
86,AC233FAA9BB3,2022-01-11T14:56:28.515Z,-43.0,pcs,AC233FC0C817
87,AC233FE05DF6,2022-01-11T14:56:28.531Z,-54.0,pcs,AC233FC0C817
88,AC233FE05E05,2022-01-11T14:56:28.893Z,-44.0,pcs,AC233FC0C817
89,AC233F8C7BCC,2022-01-11T14:56:29.201Z,-50.0,pcs,AC233FC0C810
90,AC233FE05DF6,2022-01-11T14:56:29.153Z,-56.0,pcs,AC233FC0C810
91,AC233FE05DFB,2022-01-11T14:56:29.075Z,-48.0,pcs,AC233FC0C810
92,AC233FE05E05,2022-01-11T14:56:28.887Z,-63.0,pcs,AC233FC0C810
93,AC233FE05DF6,2022-01-11T14:56:28.849Z,-51.0,pcs,AC233FC0C80F
94,AC233FE05E05,2022-01-11T14:56:28.889Z,-44.0,pcs,AC233FC0C80F
95,AC233F8C7BCC,2022-01-11T14:56:28.893Z,-51.0,pcs,AC233FC0C80F
96,AC233FE05DFB,2022-01-11T14:56:29.073Z,-60.0,pcs,AC233FC0C80F
97,AC233FE05DF6,2022-01-11T14:56:29.155Z,-50.0,pcs,AC233FC0C80F
98,AC233F8C7BCC,2022-01-11T14:56:29.203Z,-56.0,pcs,AC233FC0C80F
99,4E7ED43BA008,2022-01-11T14:56:29.147Z,-70.0,pcs,AC233FC0C817
100,AC233F8C7BCC,2022-01-11T14:56:29.201Z,-62.0,pcs,AC233FC0C817
101,AC233FE05DFB,2022-01-11T14:56:29.073Z,-49.0,pcs,AC233FC0C817
102,AC233FE05DF6,2022-01-11T14:56:29.455Z,-62.0,pcs,AC233FC0C810
103,AC233FE05DF6,2022-01-11T14:56:29.457Z,-48.0,pcs,AC233FC0C80F
104,AC233F8C7BCF,2022-01-11T14:56:29.490Z,-52.0,pcs,AC233FC0C80F
105,4E7ED43BA008,2022-01-11T14:56:29.858Z,-72.0,pcs,AC233FC0C817
106,AC233F8C7BCC,2022-01-11T14:56:29.802Z,-68.0,pcs,AC233FC0C817
107,AC233F8C7BCF,2022-01-11T14:56:29.488Z,-49.0,pcs,AC233FC0C817
108,AC233FE05DF6,2022-01-11T14:56:29.455Z,-58.0,pcs,AC233FC0C817
109,AC233FE05E05,2022-01-11T14:56:29.794Z,-45.0,pcs,AC233FC0C817
110,AC233F8C7BCC,2022-01-11T14:56:30.107Z,-48.0,pcs,AC233FC0C810
111,AC233FE05DF6,2022-01-11T14:56:30.070Z,-45.0,pcs,AC233FC0C810
112,AC233FE05DFB,2022-01-11T14:56:29.978Z,-45.0,pcs,AC233FC0C810
113,AC233FE05E05,2022-01-11T14:56:29.792Z,-38.0,pcs,AC233FC0C810
114,AC233FE05E05,2022-01-11T14:56:29.796Z,-56.0,pcs,AC233FC0C80F
115,AC233F8C7BCC,2022-01-11T14:56:29.805Z,-65.0,pcs,AC233FC0C80F
116,AC233FE05DFB,2022-01-11T14:56:29.981Z,-54.0,pcs,AC233FC0C80F
117,AC233FE05DF6,2022-01-11T14:56:30.074Z,-52.0,pcs,AC233FC0C80F
118,AC233F8C7BCC,2022-01-11T14:56:30.109Z,-52.0,pcs,AC233FC0C80F
119,4E7ED43BA008,2022-01-11T14:56:30.350Z,-71.0,pcs,AC233FC0C817
120,AC233FAA9BB3,2022-01-11T14:56:30.325Z,-55.0,pcs,AC233FC0C817
121,AC233FE05DF6,2022-01-11T14:56:30.378Z,-48.0,pcs,AC233FC0C817
122,AC233FE05DFB,2022-01-11T14:56:29.979Z,-45.0,pcs,AC233FC0C817
123,AC233F8C7BCC,2022-01-11T14:56:30.708Z,-54.0,pcs,AC233FC0C810
124,AC233FAA9BB3,2022-01-11T14:56:30.324Z,-34.0,pcs,AC233FC0C810
125,AC233FE05DF6,2022-01-11T14:56:30.686Z,-45.0,pcs,AC233FC0C810
126,AC233FAA9BB3,2022-01-11T14:56:30.324Z,-52.0,pcs,AC233FC0C80F
127,AC233FE05DF6,2022-01-11T14:56:30.378Z,-55.0,pcs,AC233FC0C80F
128,AC233F8C7BCC,2022-01-11T14:56:30.402Z,-51.0,pcs,AC233FC0C80F
129,AC233F8C7BCF,2022-01-11T14:56:30.428Z,-54.0,pcs,AC233FC0C80F
130,AC233FE05DF6,2022-01-11T14:56:30.687Z,-52.0,pcs,AC233FC0C80F
131,AC233F8C7BCC,2022-01-11T14:56:30.712Z,-53.0,pcs,AC233FC0C80F
132,4E7ED43BA008,2022-01-11T14:56:30.707Z,-70.0,pcs,AC233FC0C817
133,AC233FE05DF6,2022-01-11T14:56:30.686Z,-59.0,pcs,AC233FC0C817
134,AC233FE05DFB,2022-01-11T14:56:30.886Z,-47.0,pcs,AC233FC0C817
135,AC233F8C7BCC,2022-01-11T14:56:31.008Z,-57.0,pcs,AC233FC0C810
136,AC233FE05DFB,2022-01-11T14:56:30.885Z,-49.0,pcs,AC233FC0C810
